source_id,target_id,relationship_type,confidence_bps,priority,reason_text
"prd_qm_munchmitra_classic_potato_crisps","prd_qm_nibblenest_smoky_barbecue_crisps","SAME_FAMILY","7600","5","A similar snacks choice can be suggested when the shopper is browsing this item."
"prd_qm_munchmitra_classic_potato_crisps","prd_qm_pourhouse_peach_iced_tea","COMPLEMENT","8400","10","This complements classic potato crisps in a practical basket for the same shopping occasion."
"prd_qm_nibblenest_smoky_barbecue_crisps","prd_qm_crispkettle_lime_chilli_crisps","SAME_FAMILY","7600","5","A similar snacks choice can be suggested when the shopper is browsing this item."
"prd_qm_nibblenest_smoky_barbecue_crisps","prd_qm_sunsip_lemon_iced_tea","COMPLEMENT","8400","10","This complements smoky barbecue crisps in a practical basket for the same shopping occasion."
"prd_qm_crispkettle_lime_chilli_crisps","prd_qm_munchmitra_tomato_herb_crisps","SAME_FAMILY","7600","5","A similar snacks choice can be suggested when the shopper is browsing this item."
"prd_qm_crispkettle_lime_chilli_crisps","prd_qm_fizzyleaf_classic_black_tea","COMPLEMENT","8400","10","This complements lime chilli crisps in a practical basket for the same shopping occasion."
"prd_qm_munchmitra_tomato_herb_crisps","prd_qm_nibblenest_roasted_corn_puffs","SAME_FAMILY","7600","5","A similar snacks choice can be suggested when the shopper is browsing this item."
"prd_qm_munchmitra_tomato_herb_crisps","prd_qm_pourhouse_cardamom_tea","COMPLEMENT","8400","10","This complements tomato herb crisps in a practical basket for the same shopping occasion."
"prd_qm_nibblenest_roasted_corn_puffs","prd_qm_crispkettle_masala_lentil_rings","SAME_FAMILY","7600","5","A similar snacks choice can be suggested when the shopper is browsing this item."
"prd_qm_nibblenest_roasted_corn_puffs","prd_qm_sunsip_green_tea_bags","COMPLEMENT","8400","10","This complements roasted corn puffs in a practical basket for the same shopping occasion."
"prd_qm_crispkettle_masala_lentil_rings","prd_qm_munchmitra_spiced_gram_sev","SAME_FAMILY","7600","5","A similar snacks choice can be suggested when the shopper is browsing this item."
"prd_qm_crispkettle_masala_lentil_rings","prd_qm_fizzyleaf_ginger_tulsi_tea","COMPLEMENT","8400","10","This complements masala lentil rings in a practical basket for the same shopping occasion."
"prd_qm_munchmitra_spiced_gram_sev","prd_qm_nibblenest_tangy_trail_mix","SAME_FAMILY","7600","5","A similar snacks choice can be suggested when the shopper is browsing this item."
"prd_qm_munchmitra_spiced_gram_sev","prd_qm_pourhouse_instant_coffee_original","COMPLEMENT","8400","10","This complements spiced gram sev in a practical basket for the same shopping occasion."
"prd_qm_nibblenest_tangy_trail_mix","prd_qm_crispkettle_peanut_jaggery_brittle","SAME_FAMILY","7600","5","A similar snacks choice can be suggested when the shopper is browsing this item."
"prd_qm_nibblenest_tangy_trail_mix","prd_qm_sunsip_dark_roast_coffee","COMPLEMENT","8400","10","This complements tangy trail mix in a practical basket for the same shopping occasion."
"prd_qm_crispkettle_peanut_jaggery_brittle","prd_qm_munchmitra_roasted_chana_mix","SAME_FAMILY","7600","5","A similar snacks choice can be suggested when the shopper is browsing this item."
"prd_qm_crispkettle_peanut_jaggery_brittle","prd_qm_fizzyleaf_filter_coffee_blend","COMPLEMENT","8400","10","This complements peanut jaggery brittle in a practical basket for the same shopping occasion."
"prd_qm_munchmitra_roasted_chana_mix","prd_qm_nibblenest_rice_crackle_sticks","SAME_FAMILY","7600","5","A similar snacks choice can be suggested when the shopper is browsing this item."
"prd_qm_munchmitra_roasted_chana_mix","prd_qm_pourhouse_cold_coffee_can","COMPLEMENT","8400","10","This complements roasted chana mix in a practical basket for the same shopping occasion."
"prd_qm_nibblenest_rice_crackle_sticks","prd_qm_crispkettle_cheese_corn_nachos","SAME_FAMILY","7600","5","A similar snacks choice can be suggested when the shopper is browsing this item."
"prd_qm_nibblenest_rice_crackle_sticks","prd_qm_sunsip_cocoa_malt_drink","COMPLEMENT","8400","10","This complements rice crackle sticks in a practical basket for the same shopping occasion."
"prd_qm_crispkettle_cheese_corn_nachos","prd_qm_munchmitra_pepper_banana_chips","SAME_FAMILY","7600","5","A similar snacks choice can be suggested when the shopper is browsing this item."
"prd_qm_crispkettle_cheese_corn_nachos","prd_qm_fizzyleaf_salted_buttermilk","COMPLEMENT","8400","10","This complements cheese corn nachos in a practical basket for the same shopping occasion."
"prd_qm_munchmitra_pepper_banana_chips","prd_qm_nibblenest_cumin_mathri","SAME_FAMILY","7600","5","A similar snacks choice can be suggested when the shopper is browsing this item."
"prd_qm_munchmitra_pepper_banana_chips","prd_qm_pourhouse_plain_lassi","COMPLEMENT","8400","10","This complements pepper banana chips in a practical basket for the same shopping occasion."
"prd_qm_nibblenest_cumin_mathri","prd_qm_crispkettle_baked_multigrain_chips","SAME_FAMILY","7600","5","A similar snacks choice can be suggested when the shopper is browsing this item."
"prd_qm_nibblenest_cumin_mathri","prd_qm_sunsip_mango_lassi","COMPLEMENT","8400","10","This complements cumin mathri in a practical basket for the same shopping occasion."
"prd_qm_crispkettle_baked_multigrain_chips","prd_qm_munchmitra_savoury_millet_puffs","SAME_FAMILY","7600","5","A similar snacks choice can be suggested when the shopper is browsing this item."
"prd_qm_crispkettle_baked_multigrain_chips","prd_qm_fizzyleaf_berry_fruit_drink","COMPLEMENT","8400","10","This complements baked multigrain chips in a practical basket for the same shopping occasion."
"prd_qm_munchmitra_savoury_millet_puffs","prd_qm_nibblenest_chilli_garlic_peanuts","SAME_FAMILY","7600","5","A similar snacks choice can be suggested when the shopper is browsing this item."
"prd_qm_munchmitra_savoury_millet_puffs","prd_qm_pourhouse_pomegranate_juice","COMPLEMENT","8400","10","This complements savoury millet puffs in a practical basket for the same shopping occasion."
"prd_qm_nibblenest_chilli_garlic_peanuts","prd_qm_crispkettle_sweet_plantain_crisps","SAME_FAMILY","7600","5","A similar snacks choice can be suggested when the shopper is browsing this item."
"prd_qm_nibblenest_chilli_garlic_peanuts","prd_qm_sunsip_apple_juice","COMPLEMENT","8400","10","This complements chilli garlic peanuts in a practical basket for the same shopping occasion."
"prd_qm_crispkettle_sweet_plantain_crisps","prd_qm_munchmitra_herb_wafer_sticks","SAME_FAMILY","7600","5","A similar snacks choice can be suggested when the shopper is browsing this item."
"prd_qm_crispkettle_sweet_plantain_crisps","prd_qm_fizzyleaf_orange_juice","COMPLEMENT","8400","10","This complements sweet plantain crisps in a practical basket for the same shopping occasion."
"prd_qm_munchmitra_herb_wafer_sticks","prd_qm_nibblenest_caramel_popcorn","SAME_FAMILY","7600","5","A similar snacks choice can be suggested when the shopper is browsing this item."
"prd_qm_munchmitra_herb_wafer_sticks","prd_qm_pourhouse_lemonade","COMPLEMENT","8400","10","This complements herb wafer sticks in a practical basket for the same shopping occasion."
"prd_qm_nibblenest_caramel_popcorn","prd_qm_crispkettle_tea_biscuits_plain","SAME_FAMILY","7600","5","A similar snacks choice can be suggested when the shopper is browsing this item."
"prd_qm_nibblenest_caramel_popcorn","prd_qm_sunsip_electrolyte_orange_drink","COMPLEMENT","8400","10","This complements caramel popcorn in a practical basket for the same shopping occasion."
"prd_qm_fizzyleaf_sparkling_cola_drink","prd_qm_pourhouse_lemon_lime_fizz","SAME_FAMILY","7600","5","A similar beverages choice can be suggested when the shopper is browsing this item."
"prd_qm_fizzyleaf_sparkling_cola_drink","prd_qm_crispkettle_tea_biscuits_plain","COMPLEMENT","8400","10","This complements sparkling cola drink in a practical basket for the same shopping occasion."
"prd_qm_pourhouse_lemon_lime_fizz","prd_qm_sunsip_orange_sparkling_drink","SAME_FAMILY","7600","5","A similar beverages choice can be suggested when the shopper is browsing this item."
"prd_qm_pourhouse_lemon_lime_fizz","prd_qm_munchmitra_butter_shortbread_bites","COMPLEMENT","8400","10","This complements lemon lime fizz in a practical basket for the same shopping occasion."
"prd_qm_sunsip_orange_sparkling_drink","prd_qm_fizzyleaf_ginger_ale","SAME_FAMILY","7600","5","A similar beverages choice can be suggested when the shopper is browsing this item."
"prd_qm_sunsip_orange_sparkling_drink","prd_qm_nibblenest_cocoa_cream_biscuits","COMPLEMENT","8400","10","This complements orange sparkling drink in a practical basket for the same shopping occasion."
"prd_qm_fizzyleaf_ginger_ale","prd_qm_pourhouse_mango_fruit_drink","SAME_FAMILY","7600","5","A similar beverages choice can be suggested when the shopper is browsing this item."
"prd_qm_fizzyleaf_ginger_ale","prd_qm_crispkettle_oat_crunch_cookies","COMPLEMENT","8400","10","This complements ginger ale in a practical basket for the same shopping occasion."
"prd_qm_pourhouse_mango_fruit_drink","prd_qm_sunsip_guava_fruit_drink","SAME_FAMILY","7600","5","A similar beverages choice can be suggested when the shopper is browsing this item."
"prd_qm_pourhouse_mango_fruit_drink","prd_qm_munchmitra_salted_cracker_squares","COMPLEMENT","8400","10","This complements mango fruit drink in a practical basket for the same shopping occasion."
"prd_qm_sunsip_guava_fruit_drink","prd_qm_fizzyleaf_mixed_fruit_nectar","SAME_FAMILY","7600","5","A similar beverages choice can be suggested when the shopper is browsing this item."
"prd_qm_sunsip_guava_fruit_drink","prd_qm_nibblenest_coconut_snap_biscuits","COMPLEMENT","8400","10","This complements guava fruit drink in a practical basket for the same shopping occasion."
"prd_qm_fizzyleaf_mixed_fruit_nectar","prd_qm_pourhouse_tender_coconut_water","SAME_FAMILY","7600","5","A similar beverages choice can be suggested when the shopper is browsing this item."
"prd_qm_fizzyleaf_mixed_fruit_nectar","prd_qm_crispkettle_cardamom_tea_biscuits","COMPLEMENT","8400","10","This complements mixed fruit nectar in a practical basket for the same shopping occasion."
"prd_qm_pourhouse_tender_coconut_water","prd_qm_sunsip_packaged_drinking_water","SAME_FAMILY","7600","5","A similar beverages choice can be suggested when the shopper is browsing this item."
"prd_qm_pourhouse_tender_coconut_water","prd_qm_munchmitra_honey_oat_cookies","COMPLEMENT","8400","10","This complements tender coconut water in a practical basket for the same shopping occasion."
"prd_qm_sunsip_packaged_drinking_water","prd_qm_fizzyleaf_soda_water","SAME_FAMILY","7600","5","A similar beverages choice can be suggested when the shopper is browsing this item."
"prd_qm_sunsip_packaged_drinking_water","prd_qm_nibblenest_ragi_sesame_bites","COMPLEMENT","8400","10","This complements packaged drinking water in a practical basket for the same shopping occasion."
"prd_qm_fizzyleaf_soda_water","prd_qm_pourhouse_peach_iced_tea","SAME_FAMILY","7600","5","A similar beverages choice can be suggested when the shopper is browsing this item."
"prd_qm_fizzyleaf_soda_water","prd_qm_crispkettle_choco_chip_rounds","COMPLEMENT","8400","10","This complements soda water in a practical basket for the same shopping occasion."
"prd_qm_pourhouse_peach_iced_tea","prd_qm_sunsip_lemon_iced_tea","SAME_FAMILY","7600","5","A similar beverages choice can be suggested when the shopper is browsing this item."
"prd_qm_pourhouse_peach_iced_tea","prd_qm_munchmitra_classic_potato_crisps","COMPLEMENT","8400","10","This complements peach iced tea in a practical basket for the same shopping occasion."
"prd_qm_sunsip_lemon_iced_tea","prd_qm_fizzyleaf_classic_black_tea","SAME_FAMILY","7600","5","A similar beverages choice can be suggested when the shopper is browsing this item."
"prd_qm_sunsip_lemon_iced_tea","prd_qm_nibblenest_smoky_barbecue_crisps","COMPLEMENT","8400","10","This complements lemon iced tea in a practical basket for the same shopping occasion."
"prd_qm_fizzyleaf_classic_black_tea","prd_qm_pourhouse_cardamom_tea","SAME_FAMILY","7600","5","A similar beverages choice can be suggested when the shopper is browsing this item."
"prd_qm_fizzyleaf_classic_black_tea","prd_qm_crispkettle_lime_chilli_crisps","COMPLEMENT","8400","10","This complements classic black tea in a practical basket for the same shopping occasion."
"prd_qm_pourhouse_cardamom_tea","prd_qm_sunsip_green_tea_bags","SAME_FAMILY","7600","5","A similar beverages choice can be suggested when the shopper is browsing this item."
"prd_qm_pourhouse_cardamom_tea","prd_qm_munchmitra_tomato_herb_crisps","COMPLEMENT","8400","10","This complements cardamom tea in a practical basket for the same shopping occasion."
"prd_qm_sunsip_green_tea_bags","prd_qm_fizzyleaf_ginger_tulsi_tea","SAME_FAMILY","7600","5","A similar beverages choice can be suggested when the shopper is browsing this item."
"prd_qm_sunsip_green_tea_bags","prd_qm_nibblenest_roasted_corn_puffs","COMPLEMENT","8400","10","This complements green tea bags in a practical basket for the same shopping occasion."
"prd_qm_fizzyleaf_ginger_tulsi_tea","prd_qm_pourhouse_instant_coffee_original","SAME_FAMILY","7600","5","A similar beverages choice can be suggested when the shopper is browsing this item."
"prd_qm_fizzyleaf_ginger_tulsi_tea","prd_qm_crispkettle_masala_lentil_rings","COMPLEMENT","8400","10","This complements ginger tulsi tea in a practical basket for the same shopping occasion."
"prd_qm_pourhouse_instant_coffee_original","prd_qm_sunsip_dark_roast_coffee","SAME_FAMILY","7600","5","A similar beverages choice can be suggested when the shopper is browsing this item."
"prd_qm_pourhouse_instant_coffee_original","prd_qm_munchmitra_spiced_gram_sev","COMPLEMENT","8400","10","This complements instant coffee original in a practical basket for the same shopping occasion."
"prd_qm_sunsip_dark_roast_coffee","prd_qm_fizzyleaf_filter_coffee_blend","SAME_FAMILY","7600","5","A similar beverages choice can be suggested when the shopper is browsing this item."
"prd_qm_sunsip_dark_roast_coffee","prd_qm_nibblenest_tangy_trail_mix","COMPLEMENT","8400","10","This complements dark roast coffee in a practical basket for the same shopping occasion."
"prd_qm_fizzyleaf_filter_coffee_blend","prd_qm_pourhouse_cold_coffee_can","SAME_FAMILY","7600","5","A similar beverages choice can be suggested when the shopper is browsing this item."
"prd_qm_fizzyleaf_filter_coffee_blend","prd_qm_crispkettle_peanut_jaggery_brittle","COMPLEMENT","8400","10","This complements filter coffee blend in a practical basket for the same shopping occasion."
"prd_qm_pourhouse_cold_coffee_can","prd_qm_sunsip_cocoa_malt_drink","SAME_FAMILY","7600","5","A similar beverages choice can be suggested when the shopper is browsing this item."
"prd_qm_pourhouse_cold_coffee_can","prd_qm_munchmitra_roasted_chana_mix","COMPLEMENT","8400","10","This complements cold coffee can in a practical basket for the same shopping occasion."
"prd_qm_sunsip_cocoa_malt_drink","prd_qm_fizzyleaf_salted_buttermilk","SAME_FAMILY","7600","5","A similar beverages choice can be suggested when the shopper is browsing this item."
"prd_qm_sunsip_cocoa_malt_drink","prd_qm_nibblenest_rice_crackle_sticks","COMPLEMENT","8400","10","This complements cocoa malt drink in a practical basket for the same shopping occasion."
"prd_qm_fizzyleaf_salted_buttermilk","prd_qm_pourhouse_plain_lassi","SAME_FAMILY","7600","5","A similar beverages choice can be suggested when the shopper is browsing this item."
"prd_qm_fizzyleaf_salted_buttermilk","prd_qm_crispkettle_cheese_corn_nachos","COMPLEMENT","8400","10","This complements salted buttermilk in a practical basket for the same shopping occasion."
"prd_qm_pourhouse_plain_lassi","prd_qm_sunsip_mango_lassi","SAME_FAMILY","7600","5","A similar beverages choice can be suggested when the shopper is browsing this item."
"prd_qm_pourhouse_plain_lassi","prd_qm_munchmitra_pepper_banana_chips","COMPLEMENT","8400","10","This complements plain lassi in a practical basket for the same shopping occasion."
"prd_qm_sunsip_mango_lassi","prd_qm_fizzyleaf_berry_fruit_drink","SAME_FAMILY","7600","5","A similar beverages choice can be suggested when the shopper is browsing this item."
"prd_qm_sunsip_mango_lassi","prd_qm_nibblenest_cumin_mathri","COMPLEMENT","8400","10","This complements mango lassi in a practical basket for the same shopping occasion."
"prd_qm_fizzyleaf_berry_fruit_drink","prd_qm_pourhouse_pomegranate_juice","SAME_FAMILY","7600","5","A similar beverages choice can be suggested when the shopper is browsing this item."
"prd_qm_fizzyleaf_berry_fruit_drink","prd_qm_crispkettle_baked_multigrain_chips","COMPLEMENT","8400","10","This complements berry fruit drink in a practical basket for the same shopping occasion."
"prd_qm_pourhouse_pomegranate_juice","prd_qm_sunsip_apple_juice","SAME_FAMILY","7600","5","A similar beverages choice can be suggested when the shopper is browsing this item."
"prd_qm_pourhouse_pomegranate_juice","prd_qm_munchmitra_savoury_millet_puffs","COMPLEMENT","8400","10","This complements pomegranate juice in a practical basket for the same shopping occasion."
"prd_qm_sunsip_apple_juice","prd_qm_fizzyleaf_orange_juice","SAME_FAMILY","7600","5","A similar beverages choice can be suggested when the shopper is browsing this item."
"prd_qm_sunsip_apple_juice","prd_qm_nibblenest_chilli_garlic_peanuts","COMPLEMENT","8400","10","This complements apple juice in a practical basket for the same shopping occasion."
"prd_qm_fizzyleaf_orange_juice","prd_qm_pourhouse_lemonade","SAME_FAMILY","7600","5","A similar beverages choice can be suggested when the shopper is browsing this item."
"prd_qm_fizzyleaf_orange_juice","prd_qm_crispkettle_sweet_plantain_crisps","COMPLEMENT","8400","10","This complements orange juice in a practical basket for the same shopping occasion."
"prd_qm_pourhouse_lemonade","prd_qm_sunsip_electrolyte_orange_drink","SAME_FAMILY","7600","5","A similar beverages choice can be suggested when the shopper is browsing this item."
"prd_qm_pourhouse_lemonade","prd_qm_munchmitra_herb_wafer_sticks","COMPLEMENT","8400","10","This complements lemonade in a practical basket for the same shopping occasion."
"prd_qm_sunsip_electrolyte_orange_drink","prd_qm_fizzyleaf_sparkling_cola_drink","SAME_FAMILY","7600","5","A similar beverages choice can be suggested when the shopper is browsing this item."
"prd_qm_sunsip_electrolyte_orange_drink","prd_qm_nibblenest_caramel_popcorn","COMPLEMENT","8400","10","This complements electrolyte orange drink in a practical basket for the same shopping occasion."
"prd_qm_greenbasket_robusta_banana","prd_qm_dailyharvest_alphonso_mango","SAME_FAMILY","7600","5","A similar fresh produce choice can be suggested when the shopper is browsing this item."
"prd_qm_greenbasket_robusta_banana","prd_qm_harvesthill_whole_wheat_flour","COMPLEMENT","8400","10","This complements robusta banana in a practical basket for the same shopping occasion."
"prd_qm_dailyharvest_alphonso_mango","prd_qm_freshroute_kesar_mango","SAME_FAMILY","7600","5","A similar fresh produce choice can be suggested when the shopper is browsing this item."
"prd_qm_dailyharvest_alphonso_mango","prd_qm_kitchenleaf_multigrain_flour","COMPLEMENT","8400","10","This complements alphonso mango in a practical basket for the same shopping occasion."
"prd_qm_freshroute_kesar_mango","prd_qm_greenbasket_red_delicious_apple","SAME_FAMILY","7600","5","A similar fresh produce choice can be suggested when the shopper is browsing this item."
"prd_qm_freshroute_kesar_mango","prd_qm_graincraft_long_grain_rice","COMPLEMENT","8400","10","This complements kesar mango in a practical basket for the same shopping occasion."
"prd_qm_greenbasket_red_delicious_apple","prd_qm_dailyharvest_green_apple","SAME_FAMILY","7600","5","A similar fresh produce choice can be suggested when the shopper is browsing this item."
"prd_qm_greenbasket_red_delicious_apple","prd_qm_harvesthill_aromatic_basmati_rice","COMPLEMENT","8400","10","This complements red delicious apple in a practical basket for the same shopping occasion."
"prd_qm_dailyharvest_green_apple","prd_qm_freshroute_nagpur_orange","SAME_FAMILY","7600","5","A similar fresh produce choice can be suggested when the shopper is browsing this item."
"prd_qm_dailyharvest_green_apple","prd_qm_kitchenleaf_sona_masoori_rice","COMPLEMENT","8400","10","This complements green apple in a practical basket for the same shopping occasion."
"prd_qm_freshroute_nagpur_orange","prd_qm_greenbasket_sweet_lime","SAME_FAMILY","7600","5","A similar fresh produce choice can be suggested when the shopper is browsing this item."
"prd_qm_freshroute_nagpur_orange","prd_qm_graincraft_brown_rice","COMPLEMENT","8400","10","This complements nagpur orange in a practical basket for the same shopping occasion."
"prd_qm_greenbasket_sweet_lime","prd_qm_dailyharvest_papaya","SAME_FAMILY","7600","5","A similar fresh produce choice can be suggested when the shopper is browsing this item."
"prd_qm_greenbasket_sweet_lime","prd_qm_harvesthill_toor_dal","COMPLEMENT","8400","10","This complements sweet lime in a practical basket for the same shopping occasion."
"prd_qm_dailyharvest_papaya","prd_qm_freshroute_pomegranate","SAME_FAMILY","7600","5","A similar fresh produce choice can be suggested when the shopper is browsing this item."
"prd_qm_dailyharvest_papaya","prd_qm_kitchenleaf_split_moong_dal","COMPLEMENT","8400","10","This complements papaya in a practical basket for the same shopping occasion."
"prd_qm_freshroute_pomegranate","prd_qm_greenbasket_green_grapes","SAME_FAMILY","7600","5","A similar fresh produce choice can be suggested when the shopper is browsing this item."
"prd_qm_freshroute_pomegranate","prd_qm_graincraft_red_lentils","COMPLEMENT","8400","10","This complements pomegranate in a practical basket for the same shopping occasion."
"prd_qm_greenbasket_green_grapes","prd_qm_dailyharvest_black_grapes","SAME_FAMILY","7600","5","A similar fresh produce choice can be suggested when the shopper is browsing this item."
"prd_qm_greenbasket_green_grapes","prd_qm_harvesthill_chana_dal","COMPLEMENT","8400","10","This complements green grapes in a practical basket for the same shopping occasion."
"prd_qm_dailyharvest_black_grapes","prd_qm_freshroute_guava","SAME_FAMILY","7600","5","A similar fresh produce choice can be suggested when the shopper is browsing this item."
"prd_qm_dailyharvest_black_grapes","prd_qm_kitchenleaf_kidney_beans","COMPLEMENT","8400","10","This complements black grapes in a practical basket for the same shopping occasion."
"prd_qm_freshroute_guava","prd_qm_greenbasket_pineapple","SAME_FAMILY","7600","5","A similar fresh produce choice can be suggested when the shopper is browsing this item."
"prd_qm_freshroute_guava","prd_qm_graincraft_kabuli_chickpeas","COMPLEMENT","8400","10","This complements guava in a practical basket for the same shopping occasion."
"prd_qm_greenbasket_pineapple","prd_qm_dailyharvest_watermelon","SAME_FAMILY","7600","5","A similar fresh produce choice can be suggested when the shopper is browsing this item."
"prd_qm_greenbasket_pineapple","prd_qm_harvesthill_thick_poha","COMPLEMENT","8400","10","This complements pineapple in a practical basket for the same shopping occasion."
"prd_qm_dailyharvest_watermelon","prd_qm_freshroute_muskmelon","SAME_FAMILY","7600","5","A similar fresh produce choice can be suggested when the shopper is browsing this item."
"prd_qm_dailyharvest_watermelon","prd_qm_kitchenleaf_semolina_rava","COMPLEMENT","8400","10","This complements watermelon in a practical basket for the same shopping occasion."
"prd_qm_freshroute_muskmelon","prd_qm_greenbasket_kiwi","SAME_FAMILY","7600","5","A similar fresh produce choice can be suggested when the shopper is browsing this item."
"prd_qm_freshroute_muskmelon","prd_qm_graincraft_gram_flour","COMPLEMENT","8400","10","This complements muskmelon in a practical basket for the same shopping occasion."
"prd_qm_greenbasket_kiwi","prd_qm_dailyharvest_pear","SAME_FAMILY","7600","5","A similar fresh produce choice can be suggested when the shopper is browsing this item."
"prd_qm_greenbasket_kiwi","prd_qm_harvesthill_finger_millet_flour","COMPLEMENT","8400","10","This complements kiwi in a practical basket for the same shopping occasion."
"prd_qm_dailyharvest_pear","prd_qm_freshroute_dragon_fruit","SAME_FAMILY","7600","5","A similar fresh produce choice can be suggested when the shopper is browsing this item."
"prd_qm_dailyharvest_pear","prd_qm_kitchenleaf_pearl_millet_flour","COMPLEMENT","8400","10","This complements pear in a practical basket for the same shopping occasion."
"prd_qm_freshroute_dragon_fruit","prd_qm_greenbasket_tender_coconut","SAME_FAMILY","7600","5","A similar fresh produce choice can be suggested when the shopper is browsing this item."
"prd_qm_freshroute_dragon_fruit","prd_qm_graincraft_sorghum_flour","COMPLEMENT","8400","10","This complements dragon fruit in a practical basket for the same shopping occasion."
"prd_qm_greenbasket_tender_coconut","prd_qm_dailyharvest_strawberry","SAME_FAMILY","7600","5","A similar fresh produce choice can be suggested when the shopper is browsing this item."
"prd_qm_greenbasket_tender_coconut","prd_qm_harvesthill_broken_wheat","COMPLEMENT","8400","10","This complements tender coconut in a practical basket for the same shopping occasion."
"prd_qm_dailyharvest_strawberry","prd_qm_freshroute_blueberry","SAME_FAMILY","7600","5","A similar fresh produce choice can be suggested when the shopper is browsing this item."
"prd_qm_dailyharvest_strawberry","prd_qm_kitchenleaf_quinoa_grain","COMPLEMENT","8400","10","This complements strawberry in a practical basket for the same shopping occasion."
"prd_qm_freshroute_blueberry","prd_qm_greenbasket_chikoo","SAME_FAMILY","7600","5","A similar fresh produce choice can be suggested when the shopper is browsing this item."
"prd_qm_freshroute_blueberry","prd_qm_graincraft_sunflower_cooking_oil","COMPLEMENT","8400","10","This complements blueberry in a practical basket for the same shopping occasion."
"prd_qm_greenbasket_chikoo","prd_qm_dailyharvest_plum","SAME_FAMILY","7600","5","A similar fresh produce choice can be suggested when the shopper is browsing this item."
"prd_qm_greenbasket_chikoo","prd_qm_harvesthill_mustard_cooking_oil","COMPLEMENT","8400","10","This complements chikoo in a practical basket for the same shopping occasion."
"prd_qm_dailyharvest_plum","prd_qm_freshroute_peach","SAME_FAMILY","7600","5","A similar fresh produce choice can be suggested when the shopper is browsing this item."
